SEQUENCE_GENBANK_STRAIN,SEQUENCE_GENBANK_ACCESSION
USA/WA-S4172/2021,MW590725.2
USA/WA-CDC-LC0880923/2022,OP518895.1
USA/WA-UW-22010727668/2022,OM569795.1
USA/WA-S3274/2020,MW493915.2
USA/WA-S10885/2021,OK137271.1
USA/WA-S12593/2021,OK546636.1
USA/WA-S7319/2021,MZ222587.1
USA/WA-CDC-UW21122703315/2021,OM232577.1
USA/WA-CDC-LC0391892/2021,OL738588.1
USA/WA-CDC-UW21061942260/2021,MZ532483.1
USA/WA-CDC-UW22061852586/2022,ON955914.1
USA/WA-CDC-UW22071149225/2022,OP108000.1
USA/WA-CDC-LC0273488/2021,OK366192.1
USA/WA-CDC-LC0446013/2021,OM176460.1
USA/WA-PHL-010696/2022,PQ174819.1
USA/WA-S18715/2022,OM955470.1
USA/WA-UW-22071725881/2022,OP209436.1
USA/WA-PHL-025132/2022,OP597006.1
USA/WA-CDC-UW21082951997/2021,OK159054.1
USA/WA-CDC-LC0333561/2021,OL326493.1
USA/WA-CDC-UW21062393424/2021,MZ532358.1
USA/WA-S24890/2024,PP485156.1
USA/WA-CDC-UW22061559839/2022,ON894236.1
USA/WA-UW-23020762491/2023,OQ504037.1
USA/WA-UW-23013020969/2023,OQ389929.1
USA/WA-S15306/2021,OL904102.1
USA/WA-UW-21042059882/2021,MZ172339.1
USA/WA-S11721/2021,OK374815.1
USA/WA-CDC-UW21072091129/2021,OK111721.1
USA/WA-CDC-QDX34634375/2022,ON035136.1
USA/WA-S334/2020,MT632785.1
USA/WA-PHL-009085/2021,PP631150.1
USA/WA-CDC-UW21073073085/2021,MZ967597.1
USA/WA-UW-2021040404427/2021,MZ239087.1
USA/WA-UW-22052336450/2022,ON678326.1
USA/WA-CDC-UW21122130142/2021,OM188414.1
USA/WA-CDC-UW21122921787/2021,OM269325.1
USA/WA-CDC-UW21122746942/2021,OM188668.1
USA/WA-S15792/2021,OM003988.1
USA/WA-CDC-LC0959375/2022,OQ109328.1
USA/WA-UW-22082397476/2022,OP443761.1
USA/WA-CDC-UW22031803472/2022,ON090938.1
USA/WA-CDC-LC0691957/2022,ON789145.1
USA/WA-CDC-LC0328981/2021,OK612462.1
USA/WA-UW-22041936712/2022,ON412724.1
USA/WA-CDC-UW22121043446/2022,OQ130854.1
USA/WA-S5176/2021,MW698998.2
USA/WA-UW-63338/2021,MZ235733.1
USA/WA-S15655/2021,OM003697.1
USA/WA-UW-21052765740/2021,MZ433769.1
USA/WA-S8138/2021,MZ388023.1
USA/WA-CDC-QDX35177041/2022,ON176748.1
USA/WA-CDC-LC0376413/2021,OL646231.1
USA/WA-UW-21072385841/2021,OK542379.1
USA/WA-UW-21041254547/2021,MZ232292.1
USA/WA-CDC-UW22010833174/2022,OM442038.1
USA/WA-S22706/2023,OQ738284.1
USA/WA-S1075/2020,MT642190.1
USA/WA-CDC-UW22021942013/2022,OM956582.1
USA/WA-CDC-UW23030606734/2023,OQ674564.1
USA/WA-CDC-UW21111415290/2021,OL825100.1
USA/WA-PHL-032828/2023,PQ386059.1
USA/WA-CDC-UW21113098839/2021,OL825290.1
USA/WA-CDC-LC0882263/2022,OP519150.1
USA/WA-CDC-LC0985578/2022,OQ258029.1
USA/WA-PHL-033317/2020,PQ414502.1
USA/WA-CDC-UW22111916969/2022,OP984273.1
USA/WA-UW-24011317917/2024,PP218506.1
USA/WA-CDC-UW22091147729/2022,OP547932.1
USA/WA-PHL-008644/2021,PQ173561.1
USA/WA-PHL-026145/2022,OQ779355.1
USA/WA-S12103/2021,OK464601.1
USA/WA-CDC-UW21121051777/2021,OL914261.1
USA/WA-CDC-UW21072009555/2021,OK111682.1
USA/WA-CDC-UW21090812714/2021,OK301696.1
USA/WA-S23601/2023,OR250840.1
USA/WA-UW-21072643967/2021,MZ835782.1
USA/WA-UW-22082552070/2022,OP601811.1
USA/WA-CDC-FG-096339/2021,OK068813.1
USA/WA-PHL-016301/2022,OQ881301.1
USA/WA-CDC-FG-146151/2021,OK543091.1
USA/WA-CDC-LC1012307/2023,OQ518714.1
USA/WA-S195/2020,MT632519.1
USA/WA-CDC-LC0013209/2021,MW644382.1
USA/WA-S24545/2023,PP319466.1
USA/WA-UW-24031911674/2024,PP975150.1
USA/WA-CDC-LC0882511/2022,OP519495.1
USA/WA-UW-21073017655/2021,OK216271.1
USA/WA-UW-21042812940/2021,MZ434046.1
USA/WA-PHL-009416/2021,PP631197.1
USA/WA-S9916/2021,MZ768353.1
USA/WA-CDC-UW21081437247/2021,MZ952250.1
USA/WA-PHL-000951/2021,PP700782.1
USA/WA-CDC-QDX30567233/2021,OL504234.1
USA/WA-S19068/2022,ON052999.1
USA/WA-UW-23013041713/2023,OQ443013.1
USA/WA-UW-23012022370/2023,OQ377920.1
USA/WA-S11036/2021,OK137421.1
USA/WA-UW-2021033007607/2021,MZ238296.1
USA/WA-CDC-UW22102259289/2022,OP788257.1
USA/WA-CDC-LC0742780/2022,ON967196.1
USA/WA-UW-21041367296/2021,MZ239365.1
USA/WA-S10075/2021,MZ768505.1
USA/WA-CDC-UW21120851234/2021,OL914042.1
USA/WA-CDC-UW22012254417/2022,OM570636.1
USA/WA-PHL-011940/2022,PQ175332.1
USA/WA-CDC-LC0034971/2021,MW903831.1
USA/WA-CDC-UW21090941142/2021,OK301654.1
USA/WA-CDC-UW21090978795/2021,OK399782.1
USA/WA-CDC-LC0302044/2021,OK455576.1
USA/WA-UW-21122473551/2021,OM296358.1
USA/WA-CDC-ASC210065736/2021,OK296138.1
USA/WA-PHL-029858/2020,PQ414052.1
USA/WA-UW-21042312936/2021,MZ171732.1
USA/WA-CDC-UW21080126932/2021,MZ882745.1
USA/WA-UW-22052324074/2022,ON678336.1
USA/WA-S2608/2020,MT831767.1
USA/WA-UW-22091907150/2022,OP678437.1
USA/WA-PHL-026529/2022,OQ779781.1
USA/WA-PHL-022567/2022,PP478417.1
USA/WA-PHL-005726/2021,PQ172110.1
USA/WA-UW-23092562480/2023,OR672880.1
USA/WA-PHL-025555/2022,PP787111.1
USA/WA-PHL-030357/2022,PP787847.1
USA/WA-UW-21080694872/2021,OK178692.1
USA/WA-CDC-UW21061024428/2021,MZ441013.1
USA/WA-S109/2020,MT627298.1
USA/WA-CDC-LC0608003/2022,ON500240.1
USA/WA-CDC-UW21072091663/2021,OK111687.1
USA/WA-CDC-UW21072288007/2021,OK111566.1
USA/WA-CDC-UW21111409519/2021,OL825085.1
USA/WA-CDC-FG-037917/2021,MZ449691.1
USA/WA-UW-22101889209/2022,OP823919.1
USA/WA-PHL-004726/2021,PP629245.1
USA/WA-CDC-UW21120144996/2021,OL825303.1
USA/WA-CDC-LC0751731/2022,ON977048.1
USA/WA-S8097/2021,MZ388383.1
USA/WA-CDC-UW23091994157/2023,OR610840.1
USA/WA-CDC-QDX32105034/2021,OM146986.1
USA/WA-UW-22072674619/2022,OP209503.1
USA/WA-CDC-UW21081586722/2021,OK068354.1
USA/WA-CDC-LC0561808/2022,ON047643.1
USA/WA-UW-22080431164/2022,OP348334.1
USA/WA-UW-21041693306/2021,MZ172093.1
USA/WA-UW-21041442793/2021,MZ232755.1
USA/WA-S13292/2021,OL336103.1
USA/WA-UW-23032981317/2023,OQ851685.1
USA/WA-CDC-UW21090376958/2021,OK301597.1
USA/WA-CDC-ASC210722673/2022,ON251879.1
USA/WA-S8383/2021,MZ453652.1
USA/WA-PHL-032539/2023,PQ372512.1
USA/WA-PHL-017059/2022,OQ916723.1
USA/WA-UW-21072879677/2021,OK542163.1
USA/WA-CDC-UW21080224166/2021,MZ882672.1
USA/WA-S14617/2021,OL740430.1
USA/WA-CDC-FG-074737/2021,MZ878174.1
USA/WA-UW-22051568573/2022,ON626998.1
USA/WA-UW-22090699476/2022,OP597313.1
USA/WA-CDC-LC0704399/2022,ON823282.1
USA/WA-UW-23031654898/2023,OQ704038.1
USA/WA-PHL-028794/2020,PQ413517.1
USA/WA-UW-22111474584/2022,OP967717.1
USA/WA-S12721/2021,OK647689.1
USA/WA-PHL-002612/2021,PP628399.1
USA/WA-CDC-LC0735445/2022,ON940416.1
USA/WA-S5796/2021,MW945279.1
USA/WA-CDC-UW23100364366/2023,OR686320.1
USA/WA-PHL-025856/2022,PP787378.1
USA/WA-PHL-031982/2023,PQ372018.1
USA/WA-PHL-021898/2022,PP477915.1
USA/WA-S2152/2020,MT831161.1
USA/WA-CDC-UW21122442030/2021,OM188642.1
USA/WA-PHL-020519/2022,OQ986552.1
USA/WA-CDC-FG-074682/2021,MZ878067.1
USA/WA-CDC-FG-096110/2021,OK068772.1
USA/WA-PHL-006442/2021,PQ172510.1
USA/WA-PHL-007162/2021,PQ172675.1
USA/WA-CDC-LC1004657/2023,OQ431902.1
USA/WA-S1121/2020,MT642267.1
USA/WA-CDC-LC0451195/2021,OM225769.1
USA/WA-UW-21072182258/2021,MZ815099.1
USA/WA-PHL-006558/2021,PP630142.1
USA/WA-PHL-024900/2022,PP786756.1
USA/WA-PHL-035211/2024,PQ143075.1
USA/WA-CDC-UW21121905393/2021,OM132027.1
USA/WA-UW-22021894434/2022,ON140405.1
USA/WA-CDC-UW21081909005/2021,OK096033.1
USA/WA-PHL-016267/2022,OQ711628.1
USA/WA-PHL-002164/2021,PQ170155.1
USA/WA-UW-22042212266/2022,ON796192.1
USA/WA-UW-22060804814/2022,ON796473.1
USA/WA-CDC-UW22061946196/2022,ON956052.1
USA/WA-CDC-LC0333380/2021,OL327485.1
USA/WA-UW-21042401974/2021,MZ171778.1
USA/WA-CDC-UW21081691181/2021,OK058076.1
USA/WA-UW-67189/2021,MZ360719.1
USA/WA-CDC-UW22010266042/2022,OM269473.1
USA/WA-CDC-UW21081662676/2021,OK068007.1
USA/WA-CDC-UW22021426240/2022,OM956442.1
USA/WA-CDC-LC0568067/2022,ON151297.1
USA/WA-PHL-017033/2022,OQ916698.1
USA/WA-CDC-UW22021130738/2022,OM900789.1
USA/WA-UW-23010960507/2023,OQ306221.1
USA/WA-UW-21042122647/2021,MZ171903.1
USA/WA-PHL-008230/2021,PP630674.1
USA/WA-S21346/2022,OP252705.1
USA/WA-CDC-UW22012544431/2022,OM570825.1
USA/WA-PHL-025587/2022,PP787140.1
USA/WA-CDC-UW22082949281/2022,OP466799.1
USA/WA-PHL-012725/2022,OQ872946.1
USA/WA-S16251/2021,OM363790.1
USA/WA-CDC-FG-096697/2021,OK141102.1
USA/WA-PHL-032586/2023,PQ372557.1
USA/WA-PHL-005471/2021,PQ171887.1
USA/WA-PHL-031292/2022,PP788341.1
USA/WA-S8710/2021,MZ461212.1
USA/WA-PHL-023928/2022,PQ370674.1
USA/WA-CDC-UW22010232510/2022,OM341898.1
USA/WA-CDC-UW22010543906/2022,OM348117.1
USA/WA-UW-23011947262/2023,OQ377953.1
USA/WA-CDC-UW22010534929/2022,OM404172.1
USA/WA-UW-21042073587/2021,MZ172323.1
USA/WA-S20452/2022,ON794852.1
USA/WA-UW-22110347669/2022,OP967705.1
USA/WA-PHL-004582/2021,PP629181.1
USA/WA-PHL-009584/2021,PP631360.1
USA/WA-CDC-UW23020633557/2023,OQ439740.1
USA/WA-CDC-UW22031445304/2022,ON090624.1
USA/WA-CDC-QDX22524203/2021,MW763330.1
USA/WA-CDC-LC0724340/2022,ON896641.1
USA/WA-UW-67192/2021,MZ360722.1
USA/WA-CDC-UW22112744947/2022,OP962538.1
USA/WA-PHL-027553/2022,OQ780097.1
USA/WA-CDC-LC0779080/2022,OP064207.1
USA/WA-S14554/2021,OL676686.1
USA/WA-PHL-025338/2022,OP597207.1
USA/WA-S650/2020,MT628053.1
USA/WA-UW-22033167605/2022,ON351853.1
USA/WA-CDC-UW23033166824/2023,OQ799215.1
USA/WA-UW-22082406713/2022,OP457477.1
USA/WA-S10649/2021,OK083288.1
USA/WA-UW-21041959235/2021,MZ232705.1
USA/WA-PHL-019628/2022,OQ982208.1
USA/WA-UW-21092548087/2021,OK556950.1
USA/WA-CDC-UW23092000801/2023,OR632572.1
USA/WA-UW-22122929192/2022,OQ306172.1
USA/WA-CDC-LC0804246/2022,OP166554.1
USA/WA-PHL-001941/2021,PQ169949.1
USA/WA-S21437/2022,OP253639.1
USA/WA-PHL-012853/2022,PQ175666.1
USA/WA-PHL-009576/2021,PP631352.1
USA/WA-UW-22092958298/2022,OP824096.1
USA/WA-S9455/2021,MZ513872.1
USA/WA-CDC-UW21080730201/2021,MZ895967.1
USA/WA-CDC-FG-143269/2021,OK469903.1
USA/WA-CDC-QDX27568691/2021,MZ929489.1
USA/WA-PHL-007276/2021,PQ172787.1
USA/WA-S15387/2021,OL904182.1
USA/WA-UW-67185/2021,MZ360715.1
USA/WA-CDC-QDX21591803/2024,PQ212196.1
USA/WA-CDC-UW21090207209/2021,OK264948.1
USA/WA-CDC-UW22010823307/2022,OM442041.1
USA/WA-CDC-UW22021018743/2022,OM841848.1
USA/WA-UW-22050166051/2022,ON553480.1
USA/WA-CDC-UW21071439242/2021,MZ729420.1
USA/WA-UW-22081849484/2022,OP457192.1
USA/WA-CDC-UW22120444263/2022,OQ080136.1
USA/WA-PHL-025910/2022,OQ779252.1
USA/WA-UW-22033020354/2022,ON249290.1
USA/WA-CDC-LC0483850/2022,OM410805.1
USA/WA-PHL-020220/2022,OQ989824.1
USA/WA-CDC-ASC210556147/2022,OM834731.1
USA/WA-CDC-UW21060391401/2021,MZ415251.1
USA/WA-UW-60022/2021,MW879541.1
USA/WA-PHL-013561/2022,OQ876379.1
USA/WA-S19384/2021,ON207399.1
USA/WA-CDC-UW21071720724/2021,MZ754672.1
USA/WA-CDC-QDX45962588/2023,OQ419631.1
USA/WA-S3262/2020,MW493903.2
USA/WA-PHL-029018/2022,PQ387212.1
USA/WA-CDC-UW22092694339/2022,OP651218.1
USA/WA-UW-22072384477/2022,OP242596.1
USA/WA-PHL-016222/2022,OQ881267.1
USA/WA-UW-22041480954/2022,ON478604.1
USA/WA-UW-21081635494/2021,OK261859.1
USA/WA-UW-61695/2021,MZ667261.1
USA/WA-UW-22033189268/2022,ON381149.1
USA/WA-PHL-030474/2020,PQ414395.1
USA/WA-UW-22040400265/2022,ON381004.1
USA/WA-CDC-UW22092684471/2022,OP646703.1
USA/WA-PHL-018090/2022,OQ920413.1
USA/WA-UW-21042898383/2021,MZ278145.1
USA/WA-UW-22072324744/2022,OP242776.1
USA/WA-CDC-UW22122227177/2022,OQ338984.1
USA/WA-S4840/2021,MW687206.2
USA/WA-UW-21072611953/2021,MZ970897.1
USA/WA-CDC-UW21092162360/2021,OK379916.1
USA/WA-S18408/2022,OM886481.1
USA/WA-CDC-LC0520697/2022,OM696449.1
USA/WA-UW-21071952291/2021,MZ713870.1
USA/WA-S13307/2021,OL336118.1
USA/WA-CDC-UW22052312072/2022,ON688953.1
USA/WA-S13191/2021,OL333823.1
USA/WA-S3973/2021,MW555924.2
USA/WA-PHL-021258/2022,OR414112.1
USA/WA-S15976/2021,OM296782.1
USA/WA-CDC-LC0560050/2022,OM989500.1
USA/WA-PHL-017680/2022,OQ917843.1
USA/WA-PHL-032749/2023,PQ385996.1
USA/WA-CDC-LC0354728/2021,OL485979.1
USA/WA-UW-22062148446/2022,ON987096.1
USA/WA-CDC-LC0736107/2022,ON940338.1
USA/WA-S8070/2021,MZ388356.1
USA/WA-PHL-018444/2022,OQ755214.1
USA/WA-CDC-UW21100146619/2021,OK615940.1
USA/WA-UW-2021040602172/2021,MZ239182.1
USA/WA-CDC-UW21101998476/2021,OL360524.1
USA/WA-UW-22090627315/2022,OP597316.1
USA/WA-CDC-UW21050349855/2021,MZ257650.1
USA/WA-PHL-010611/2022,PQ174736.1
USA/WA-UW-21080251038/2021,MZ893400.1
USA/WA-UW-2021032907376/2021,MZ238255.1
USA/WA-PHL-008786/2021,PP630876.1
USA/WA-UW-22112339579/2022,OP999236.1
USA/WA-UW-69212/2021,MZ232399.1
USA/WA-CDC-LC0609592/2022,ON500129.1
USA/WA-S4541/2021,MW647945.2
USA/WA-CDC-UW22062237108/2022,ON956167.1
USA/WA-CDC-QDX30765090/2021,OL623546.1
USA/WA-CDC-LC0496322/2022,OM495048.1
USA/WA-CDC-LC0181645/2021,MZ993149.1
USA/WA-UW-22040259079/2022,ON381047.1
USA/WA-CDC-QDX30567141/2021,OL504144.1
USA/WA-CDC-UW21090720902/2021,OK399589.1
USA/WA-S22834/2023,OQ738387.1
USA/WA-PHL-017479/2022,PQ370157.1
USA/WA-UW-21072284616/2021,OK542170.1
USA/WA-UW-21092870367/2021,OK557115.1
USA/WA-CDC-LC0634842/2022,ON589500.1
USA/WA-CDC-LC0574171/2022,ON296192.1
USA/WA-CDC-LC0520560/2022,OM695696.1
USA/WA-UW-2021041562635/2021,MZ240547.1
USA/WA-CDC-UW22031497745/2022,ON090691.1
USA/WA-PHL-001681/2021,PP627833.1
USA/WA-UW-21041932674/2021,MZ232662.1
USA/WA-UW-2021040801939/2021,MZ240081.1
USA/WA-PHL-017333/2022,OQ921134.1
USA/WA-S10078/2021,MZ768508.1
USA/WA-UW-22081899243/2022,OP457296.1
USA/WA-PHL-016568/2022,PQ400590.1
USA/WA-PHL-009244/2021,PQ173791.1
USA/WA-CDC-UW22120509658/2022,OQ080168.1
USA/WA-CDC-UW21062807022/2021,MZ532203.1
USA/WA-CDC-UW22121202959/2022,OQ130876.1
USA/WA-UW-65392/2021,MZ235349.1
USA/WA-CDC-UW23040155329/2023,OQ799237.1
USA/WA-S18681/2022,OM955439.1
USA/WA-CDC-QDX21803859/2021,MW669566.1
USA/WA-S12922/2021,OK647385.1
USA/WA-CDC-LC0249476/2021,OK201929.1
USA/WA-CDC-LC0003354/2021,MW638244.1
USA/WA-CDC-LC0221990/2021,OK154572.1
USA/WA-UW-2021041071629/2021,MZ233174.1
USA/WA-CDC-UW21082767825/2021,OK158878.1
USA/WA-UW-22053061371/2022,ON740698.1
USA/WA-CDC-LC0328637/2021,OK607832.1
USA/WA-UW-22081929660/2022,OP457844.1
USA/WA-UW-22042250743/2022,ON478403.1
USA/WA-PHL-017078/2022,OQ916742.1
USA/WA-PHL-018850/2022,OQ785449.1
USA/WA-PHL-012978/2022,PQ175789.1
USA/WA-UW-21120200415/2021,OM125408.1
USA/WA-PHL-031697/2022,PQ403931.1
USA/WA-UW-21082435496/2021,OK258244.1
USA/WA-CDC-UW21070817852/2021,MZ688283.1
USA/WA-CDC-LC0778283/2022,OP063467.1
USA/WA-UW-60598/2021,MW987729.1
USA/WA-CDC-UW21051197008/2021,MZ293674.1
USA/WA-PHL-034077/2022,PQ414741.1
USA/WA-CDC-LC1043925/2023,OR131465.1
USA/WA-CDC-UW22032095481/2022,ON140807.1
USA/WA-UW-22111027295/2022,OP967545.1
USA/WA-S13968/2021,OL584606.1
USA/WA-S22862/2023,OQ738412.1
USA/WA-CDC-FG-074615/2021,MZ878128.1
USA/WA-CDC-LC0582275/2022,ON372926.1
USA/WA-UW-22061657625/2022,ON891561.1
USA/WA-PHL-020255/2022,OQ989843.1
USA/WA-CDC-UW22060823329/2022,ON849279.1
USA/WA-CDC-UW23011116621/2023,OQ306820.1
USA/WA-UW-67315/2021,MZ360826.1
USA/WA-UW-21073070248/2021,OK216258.1
USA/WA-UW-23072463778/2023,OR387507.1
USA/WA-CDC-UW22010621938/2022,OM404227.1
USA/WA-CDC-UW21121321814/2021,OM004399.1
USA/WA-UW-21072244807/2021,OK542158.1
USA/WA-PHL-010270/2022,PQ174402.1
USA/WA-S5902/2021,MW931588.1
USA/WA-CDC-UW22010282652/2022,OM341909.1
USA/WA-CDC-LC0556636/2022,OM977589.1
USA/WA-CDC-UW22012215088/2022,OM570620.1
USA/WA-CDC-FG-081975/2021,MZ928879.1
USA/WA-UW-22111137852/2022,OP967611.1
USA/WA-PHL-014530/2022,PQ176807.1
USA/WA-PHL-001013/2021,PP700839.1
USA/WA-S538/2020,MT632824.1
USA/WA-UW-22042497975/2022,ON548635.1
USA/WA-S3412/2020,MW494042.2
USA/WA-CDC-LC0499800/2022,OM497811.1
USA/WA-CDC-UW23020309459/2023,OQ443341.1
USA/WA-PHL-005683/2021,PQ172069.1
USA/WA-CDC-LC0945366/2022,OP992110.1
USA/WA-CDC-UW22010207682/2022,OM347974.1
USA/WA-PHL-011985/2022,PQ175375.1
USA/WA-CDC-UW22062844743/2022,ON999267.1
USA/WA-S16068/2022,OM296874.1
USA/WA-CDC-LC0340100/2021,OL325263.1
USA/WA-PHL-018689/2022,OQ755349.1
USA/WA-CDC-UW21111598955/2021,OL825119.1
USA/WA-CDC-LC0900676/2022,OP659592.1
USA/WA-CDC-UW22012316151/2022,OM570670.1
USA/WA-CDC-LC0582038/2022,ON372712.1
USA/WA-CDC-2-3980572/2021,MW766555.1
USA/WA-PHL-021719/2022,OR414251.1
USA/WA-UW-22091941885/2022,OP678608.1
USA/WA-UW-22100737500/2022,OP823798.1
USA/WA-PHL-006907/2021,PP630401.1
USA/WA-CDC-UW21081915614/2021,OK096021.1
USA/WA-UW-22112655068/2022,OP999264.1
USA/WA-CDC-LC0019577/2021,MW783514.1
USA/WA-PHL-012624/2022,PQ175627.1
USA/WA-UW-23032186436/2023,OQ737141.1
USA/WA-CDC-LC0400953/2021,OL838041.1
USA/WA-UW-23122588963/2023,PP076744.1
USA/WA-CDC-LC0773638/2022,OP048505.1
USA/WA-CDC-UW22100469566/2022,OP651416.1
USA/WA-CDC-UW21051198686/2021,OK189451.1
USA/WA-UW-21042895842/2021,MZ278159.1
USA/WA-S859/2020,MT642223.1
USA/WA-UW-21100638551/2021,OK576313.1
USA/WA-PHL-022724/2022,OQ771710.1
USA/WA-PHL-016521/2021,PQ400544.1
USA/WA-CDC-UW22033058533/2022,ON376390.1
USA/WA-S18962/2022,ON052836.1
USA/WA-PHL-028537/2021,PQ413299.1
USA/WA-CDC-QDX31446628/2021,OL788990.1
USA/WA-CDC-UW23012659324/2023,OQ439649.1
USA/WA-S18403/2022,OM886476.1
USA/WA-CDC-LC0822686/2022,OP239632.1
USA/WA-S19847/2022,ON521382.1
USA/WA-CDC-UW22071095104/2022,OP102798.1
USA/WA-CDC-LC1010269/2023,OQ510313.1
USA/WA-PHL-019583/2022,OQ982170.1
USA/WA-UW-21122459485/2021,OM295750.1
USA/WA-S10938/2021,OK137324.1
USA/WA-UW-21072620825/2021,MZ835942.1
USA/WA-S18529/2022,OM886592.1
USA/WA-CDC-UW23021425685/2023,OQ589145.1
USA/WA-CDC-LC0998651/2023,OQ364502.1
USA/WA-CDC-UW21100257333/2021,OK616038.1
USA/WA-UW-21063098901/2021,MZ611942.1
USA/WA-S10005/2021,MZ768435.1
USA/WA-S1843/2020,MT834115.1
USA/WA-UW-22072614723/2022,OP209229.1
USA/WA-UW128/2020,OR223337.1
USA/WA-S13555/2021,OL373752.1
USA/WA-S24895/2024,PP485161.1
USA/WA-UW-22040491580/2022,ON381070.1
USA/WA-UW-2021041381921/2021,MZ233096.1
USA/WA-S612/2020,MT627929.1
USA/WA-CDC-LC0537637/2022,OM789945.1
USA/WA-S10194/2021,MZ768728.1
USA/WA-PHL-029840/2020,PQ414034.1
USA/WA-UW-1446/2020,MT293204.1
USA/WA-S14381/2021,OL676514.1
USA/WA-S17577/2022,OM571363.1
USA/WA-CDC-UW24010288547/2024,PP159118.1
USA/WA-S10513/2021,MZ976954.1
USA/WA-PHL-034931/2023,OR680246.1
USA/WA-CDC-LC0328982/2021,OK612339.1
USA/WA-S5110/2021,MW689108.2
USA/WA-CDC-UW22052233751/2022,ON691819.1
USA/WA-S12543/2021,OK546575.1
USA/WA-PHL-034182/2022,PQ414765.1
USA/WA-CDC-UW22061436699/2022,ON894198.1
USA/WA-S17453/2022,OM524395.1
USA/WA-PHL-007547/2021,PQ173014.1
USA/WA-CDC-UW21122430112/2021,OM188545.1
USA/WA-CDC-UW22010806170/2022,OM442097.1
USA/WA-CDC-UW21042977090/2021,MZ217732.1
USA/WA-S14199/2021,OL584824.1
USA/WA-CDC-LC0166326/2021,MZ942704.1
USA/WA-CDC-QDX37011092/2022,ON698797.1
USA/WA-CDC-UW23012510071/2023,OQ392546.1
USA/WA-CDC-UW22070529038/2022,ON999396.1
USA/WA-CDC-UW22051604178/2022,ON688909.1
USA/WA-UW-61888/2021,MZ236104.1
USA/WA-UW-22061543008/2022,ON891481.1
USA/WA-CDC-UW21050987971/2021,MZ269733.1
USA/WA-UW-524/2020,MT412248.1
USA/WA-CDC-UW22112652585/2022,OP999756.1
USA/WA-S15443/2021,OL903960.1
USA/WA-CDC-LC0640172/2022,ON607209.1
USA/WA-PHL-022699/2022,OQ771689.1
USA/WA-CDC-LC0437467/2021,OM075766.1
USA/WA-CDC-LC0357579/2021,OL488195.1
USA/WA-CDC-UW22030264775/2022,ON018666.1
USA/WA-CDC-UW22091988152/2022,OP656400.1
USA/WA-CDC-UW22081677940/2022,OP376445.1
USA/WA-UW-22072514293/2022,OP242566.1
USA/WA-CDC-UW23050493768/2023,OQ997313.1
USA/WA-S12846/2021,OK647319.1
USA/WA-UW-69012/2021,MZ236390.1
USA/WA-CDC-UW23022530755/2023,OQ589393.1
USA/WA-CDC-2-4242452/2021,MZ082735.1
USA/WA-PHL-015284/2022,OQ873654.1
USA/WA-PHL-031484/2022,PQ403758.1
USA/WA-UW-22050713570/2022,ON631449.1
USA/WA-UW-21042611983/2021,MZ394234.1
USA/WA-PHL-031479/2022,PQ403753.1
USA/WA-UW-22072868684/2022,OP348807.1
USA/WA-S14440/2021,OL676573.1
USA/WA-CDC-QDX31683288/2021,OL957669.1
USA/WA-UW-21050726572/2021,MZ328901.1
USA/WA-S16537/2022,OM437125.1
USA/WA-CDC-QDX40373399/2022,OP339250.1
USA/WA-S12187/2021,OK464682.1
USA/WA-UW-21070364386/2021,MZ603783.1
USA/WA-CDC-LC0807886/2022,OP176545.1
USA/WA-CDC-UW22120587559/2022,OQ028781.1
USA/WA-UW-22041584352/2022,ON478573.1
USA/WA-S7366/2021,MZ222627.1
USA/WA-UW-22112324955/2022,OP999257.1
USA/WA-CDC-UW21072069445/2021,OK111723.1
USA/WA-CDC-UW22071096513/2022,OP102780.1
USA/WA-CDC-UW21051968955/2021,OK189267.1
USA/WA-CDC-UW21121945544/2021,OM132010.1
USA/WA-CDC-UW21090792129/2021,OK301581.1
USA/WA-PHL-019643/2022,OQ982220.1
USA/WA-S14297/2021,OL676431.1
USA/WA-S18116/2022,OM676122.1
USA/WA-CDC-QDX34073967/2022,OM932808.1
USA/WA-CDC-ASC210473393/2021,OL570933.1
USA/WA-S20455/2022,ON794855.1
USA/WA-CDC-LC0489197/2022,OM430614.1
USA/WA-S25126/2024,PP702495.1
USA/WA-UW-22042245451/2022,ON796032.1
USA/WA-CDC-UW23052615575/2023,OR098948.1
USA/WA-UW-22072583417/2022,OP242593.1
USA/WA-CDC-UW23031390311/2023,OQ704380.1
USA/WA-CDC-UW22021494176/2022,OM900947.1
USA/WA-CDC-QDX35483831/2022,ON255364.1
USA/WA-CDC-UW21121405892/2021,OM056334.1
USA/WA-S6721/2021,MZ144511.1
USA/WA-S17233/2022,OM538454.1
USA/WA-UW-22071655878/2022,OP157078.1
USA/WA-CDC-FG-189989/2021,OL897915.1
USA/WA-UW-22051104556/2022,ON678506.1
USA/WA-S13774/2021,OL516164.1
USA/WA-CDC-UW22100322478/2022,OP651327.1
USA/WA-UW-69281/2021,MZ232440.1
USA/WA-CDC-UW21071528160/2021,MZ729385.1
USA/WA-CDC-UW21050129996/2021,MZ217632.1
USA/WA-CDC-UW22031833926/2022,ON090915.1
USA/WA-CDC-UW22081572876/2022,OP376196.1
USA/WA-S3903/2021,MW549307.2
USA/WA-PHL-017442/2022,OQ917799.1
USA/WA-UW-24020687614/2024,PP496894.1
